FID;C_Nus;Coord_X;Coord_Y
175;N00207P;431535.612;4581272.444
176;N00208Q;431497.169;4581211.571
177;N00209R;431459.377;4581150.317
178;N00210K;431436.31;4581112.641
179;N00211L;431411.157;4581070.833
180;N00212M;431463.978;4581374.303
181;N00213N;431443.311;4581329.249
182;N00214O;431425.206;4581342.376
183;N00215P;431374.855;4581203.743
184;N00216Q;431391.367;4581237.834
185;N00217R;431407.284;4581271.807
186;N00218S;431498.72;4581424.181
187;N00219T;431539.652;4581495.317
188;N00220M;431512.392;4581523.381
189;N00221N;431575.709;4581544.505
190;N00222O;431589.727;4581568.24
191;N00223P;431611.51;4581599.092
192;N00225R;431555.278;4581560.828
193;N00226S;431573.704;4581582.309
194;N00227T;431589.977;4581600.72
195;N00228U;431597.737;4581609.996
196;N00230O;431576.777;4581458.096
197;N00231P;431622.188;4581525.747
198;N00232Q;431631.155;4581581.874
199;N00233R;431467.943;4581443.024
200;N00234S;431490.184;4581484.903
201;N00235T;431534.109;4581561.348
202;N00236U;431412.501;4581562.299
203;N00237V;431437.301;4581599.326
204;N00238W;431448.113;4581525.316
205;N00239X;431462.456;4581511.951
206;N00240Q;431428.798;4581480.814
207;N00241R;431428.858;4581495.872
208;N00242S;431421.373;4581471.349
209;N00243T;431429.478;4581518.342
210;N00244U;431401.834;4581337.669
211;N00245V;431424.646;4581369.765
212;N00246W;431436.096;4581388.075
213;N00247X;431451.143;4581416.006
214;N00248Y;431390.787;4581401.358
215;N00249Z;431410.32;4581437.205
216;N00250S;431405.815;4581378.899
217;N00254W;431840.45;4581634.312
218;N00255X;431851.384;4581651.212
219;N00256Y;431870.689;4581680.655
220;N00257Z;431872.608;4581610.244
221;N00258A;431883.718;4581626.223
222;N00259B;431817.569;4581714.653
223;N00260U;431903.59;4581658.392
224;N00261V;431798.3;4581686.531
225;N00263X;431765.291;4581633.053
226;N00264Y;431780.192;4581657.622
227;N00265Z;431710.243;4581703.173
228;N00266A;431724.752;4581735.342
229;N00268C;431732.547;4581753.028
230;N00269D;431739.514;4581767.052
231;N00270W;431750.015;4581787.935
232;N00271X;431751.183;4581723.693
233;N00272Y;431756.641;4581735.631
234;N00273Z;431763.838;4581749.659
235;N00274A;431772.192;4581767.649
236;N00275B;431720.777;4581694.075
237;N00276C;431749.675;4581676.666
238;N00277D;431736.339;4581684.145
239;N00278E;431607.258;4581645.307
240;N00279F;431620.408;4581667.861
241;N00280Y;431636.277;4581696.92
242;N00281Z;431648.172;4581620.882
243;N00282A;431650.61;4581666.908
244;N00283B;431667.237;4581657.392
245;N00284C;431677.367;4581678.247
246;N00285D;431706.099;4581669.41
247;N00286E;431703.695;4581665.704
248;N00287F;431640.955;4581705.327
249;N00288G;431825.433;4581724.803
250;N00289H;431845.326;4581756.394
251;N00290A;431929.371;4581881.873
252;N00291B;431730.41;4581803.581
253;N00292C;431690.345;4581814.16
254;N00293D;431719.139;4581780.868
255;N00294E;431672.297;4581681.319
256;N00295F;431779.434;4581821.418
257;N00296G;431837.117;4581877.467
258;N00297H;431697.086;4581832.51
259;N00298I;431732.085;4581868.525
260;N00299J;431684.35;4581827.899
261;N00300L;431674.756;4581686.247
262;N00301M;431681.518;4581700.069
263;N00302N;431688.587;4581713.99
264;N00303O;431695.306;4581729.592
265;N00304P;431705.556;4581751.444
266;N00305Q;431712.167;4581765.52
267;N00306R;431655.037;4581733.508
268;N00307S;431731.024;4581714.959
269;N00308T;431756.713;4581721.232
270;N00309U;431762.484;4581702.987
271;N00310N;431806.728;4581698.3
272;N00311O;431671.523;4581772.548
273;N00312P;431661.264;4581750.016
274;N00313Q;431647.482;4581719.819
275;N00314R;431678.203;4581786.715
276;N00315S;431566.144;4581657.72
277;N00316T;431581.547;4581684.644
278;N00317U;431587.327;4581693.734
279;N00318V;431604.413;4581722.281
280;N00319W;431618.746;4581748.393
281;N00320P;431637.136;4581913.401
282;N00321Q;431667.45;4581932.738
283;N00322R;431726.273;4581990.506
284;N00323S;431781.594;4581933.961
285;N00324T;431830.724;4581980.796
286;N00325U;431621.752;4582006.555
287;N00326V;431542.568;4581927.634
288;N00327W;431563.479;4581908.166
289;N00328X;431578.95;4581893.775
290;N00329Y;431604.442;4581870.353
291;N00330R;431619.222;4581859.445
292;N00331S;431659.831;4581831.064
293;N00332T;431679.669;4581817.383
294;N00333U;431568.868;4581954.223
295;N00334V;431600.9;4581938.422
296;N00335W;431615.291;4581953.436
297;N00336X;431612.397;4581928.607
298;N00337Y;431774.995;4582038.587
299;N00338Z;431886.244;4581924.783
300;N00339A;431588.995;4582113.509
301;N00340T;431610.501;4582027.109
302;N00341U;431479.424;4581861.856
303;N00342V;431597.499;4581980.884
304;N00343W;431711.877;4582102.134
305;N00344X;431646.417;4582170.753
306;N00345Y;431697.258;4582221.6
307;N00346Z;431763.781;4582285.958
308;N00347A;431826.831;4582345.899
309;N00348B;431562.519;4582253.719
310;N00349C;432487.417;4582052.048
311;N00350V;431579.148;4581771.49
312;N00351W;431609.59;4581810.424
313;N00352X;431589.381;4581827.293
314;N00353Y;431639.985;4581793.079
315;N00354Z;431612.865;4581751.926
316;N00355A;431450.996;4581885.275
317;N00356B;431498.089;4581843.367
318;N00357C;431502.729;4581838.494
319;N00358D;431454.095;4581800.032
320;N00359E;431498.462;4581762.259
321;N00360X;431511.466;4581753.306
322;N00361Y;431569.346;4581708.916
323;N00362Z;431446.88;4581753.248
324;N00363A;431476.065;4581734.541
325;N00364B;431495.069;4581726.589
326;N00365C;431516.221;4581716.741
327;N00366D;431493.107;4581667.754
328;N00367E;431527.187;4581739.658
329;N00368F;431512.029;4581663.4
330;N00369G;431521.095;4581684.932
331;N00370Z;431379.207;4581658.676
332;N00371A;431451.529;4581627.823
333;N00372B;431472.848;4581672.356
334;N00373C;431483.745;4581612.815
335;N00374D;431498.278;4581598.16
336;N00377G;431548.828;4581628.992
337;N00378H;431570.615;4581613.787
338;N00379I;431550.66;4581591.812
339;N00380B;431536.385;4581613.445
340;N00381C;431560.565;4581644.819
341;N00382D;431590.967;4581618.487
342;N00383E;431672.638;4582382.028
343;N00384F;431582.775;4582472.797
344;N00385G;431488.162;4582550.405
345;N00386H;431449.278;4581969.45
346;N00387I;431503.572;4581935.641
347;N00388J;431454.382;4581987.502
348;N00389K;431517.705;4581941.419
349;N00390D;431463.464;4582022.439
350;N00391E;431541.749;4581956.978
351;N00392F;431474.565;4582053.806
352;N00393G;431563.969;4581967.465
353;N00394H;431480.472;4582069.565
354;N00395I;431573.449;4581974.354
355;N00396J;431500.573;4582114.796
356;N00397K;431572.511;4582007.188
357;N00398L;431442.91;4581894.654
358;N00399M;431526.073;4581945.661
359;N00401P;431425.282;4581682.08
360;N00402Q;431449.979;4581676.456
361;N00403R;431456.225;4581704.012
362;N00404S;431387.107;4581691.641
363;N00405T;431430.342;4581738.06
364;N00406U;431457.932;4581764.415
365;N00407V;431405.355;4581762.848
366;N00408W;431596.99;4581759.923
367;N00409X;431640.206;4581736.876
368;N00410Q;431532.621;4581878.947
369;N00411R;431438.303;4581785.024
370;N00412S;431431.233;4581778.61
371;N00414U;431423.881;4581783.932
372;N00415V;431373.695;4581751.902
373;N00416W;431395.887;4581755.922
374;N00417X;431387.404;4581766.005
375;N00418Y;431426.417;4581909.773
376;N00419Z;431432.626;4581922.273
377;N00420S;431442.497;4581950.076
378;N00421T;431458.314;4582004.199
379;N00422U;431470.405;4582042.572
380;N00423V;431485.209;4582110.524
381;N00425X;431733.719;4582442.044
382;N00428A;431481.214;4582443.063
383;N00429B;431436.243;4582492.355
384;N00431V;431577.745;4582160.709
385;N00432W;431561.298;4582293.244
386;N00434Y;431524.298;4582356.443
387;N00435Z;431491.887;4582371.981
388;N00436A;431452.626;4582390.292
389;N00437B;431403.665;4582283.556
390;N00438C;431409.042;4582292.564
391;N00439D;431436.658;4582356.287
392;N00440W;431495.933;4582145.462
393;N00441X;431486.79;4582232.766
394;N00442Y;431446.196;4582247.98
395;N00443Z;431460.094;4582275.149
396;N00444A;431430.163;4582226.566
397;N00446C;431360.903;4581904.813
398;N00447D;431378.002;4581926.402
399;N00448E;431391.641;4581945.037
400;N00449F;431403.057;4581872.828
401;N00451Z;431385.574;4581974.919
402;N00452A;431398.3;4581993.097
403;N00453B;431479.712;4582175.439
404;N00454C;431458.497;4582192.112
405;N00455D;431386.812;4582255.165
406;N00456E;431432.696;4582165.871
407;N00458G;431370.56;4582225.307
408;N00459H;431398.022;4582136.606
409;N00460A;431419.217;4582156.116
410;N00461B;431398.439;4582079.323
411;N00462C;431424.596;4582114.2
412;N00463D;431410.855;4582070.728
413;N00464E;431428.543;4582097.185
414;N00465F;431434.576;4582106.275
415;N00468I;431462.817;4582141.093
416;N00469J;431469.229;4582075.08
417;N00470C;431362.06;4582119.767
418;N00471D;431339.425;4582191.11
419;N00472E;431479.746;4582129.835
420;N00473F;431493.785;4582171.575
421;N00474G;431225.74;4582388.937
422;N00475H;431316.281;4582435.826
423;N00476I;431370.442;4582462.181
424;N00477J;431339.508;4582391.407
425;N00478K;431391.853;4582417.486
426;N00479L;431417.36;4582430.135
427;N00480E;431366.467;4582049.955
428;N00481F;431522.04;4581595.005
429;N00482G;431518.906;4581577.957
430;N00483H;431507.561;4581609.272
431;N00495L;431315.535;4582238.31
432;N00496M;431358.02;4582296.622
433;N00497N;431274.668;4582276.651
434;N00498O;431312.42;4582300.359
435;N00499P;431331.722;4582306.455
436;N00500R;431374.615;4582295.275
437;N00501S;431359.205;4582354.261
438;N00502T;431013.575;4582177.647
439;N00503U;431098.554;4582262.437
440;N00504V;431130.263;4582295.123
441;N00505W;430919.189;4582265.359
442;N00506X;430966.589;4582131.961
443;N00507Y;431081.142;4582105.191
444;N00508Z;431097.706;4582125.458
445;N00509A;431140.11;4582178.987
446;N00510T;431162.84;4582205.216
447;N00511U;431216.165;4582244.782
448;N00512V;431204.445;4582117.085
449;N00513W;431227.763;4582144.574
450;N00514X;431272.666;4582192.514
451;N00515Y;431264.21;4582113.656
452;N00516Z;431306.318;4582159.571
453;N00517A;431321.558;4582174.052
454;N00518B;431335.377;4582070.59
455;N00519C;431194.537;4582032.465
456;N00520V;431230.561;4582070.308
457;N00521W;431297.754;4582013.867
458;N00522X;431326.994;4581990.459
459;N00523Y;431338.334;4582003.549
460;N00524Z;431162.815;4582063.003
461;N00525A;431149.756;4581999.468
462;N00526B;431184.718;4582023.609
463;N00527C;431122.382;4582030.959
464;N00528D;431068.82;4582089.069
465;N00529E;431246.198;4581959.645
466;N00530X;431372.63;4581953.801
467;N00531Y;431332.16;4581706.556
468;N00532Z;431315.995;4581722.553
469;N00533A;431309.906;4581729.787
470;N00534B;431281.812;4581758.386
471;N00535C;431247.117;4581794.612
472;N00536D;431185.333;4581857.017
473;N00537E;431285.018;4581832.154
474;N00538F;431341.033;4581771.7
475;N00539G;431358.59;4581797.648
476;N00540Z;431369.18;4581746.856
477;N00542B;431346.659;4581692.48
478;N00545E;431372.303;4581814.019
479;N00550B;431330.554;4581814.133
480;N00552D;431306.287;4581824.632
481;N00553E;431276.651;4581840.998
482;N00554F;431236.747;4581883.797
483;N00555G;431202.643;4581918.045
484;N00556H;431269.853;4581913.976
485;N00557I;431283.688;4581927.113
486;N00558J;431313.04;4581878.666
487;N00559K;431333.882;4581865.973
488;N00561E;431324.962;4581892.472
489;N00562F;431339.05;4581874.156
490;N00564H;431365.464;4581855.404
491;N00567K;431180.775;4581897.068
492;N00572H;431153.104;4581862.039
493;N00573I;431148.625;4581894.606
494;N00574J;431071.324;4581961.557
